id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
567263377944351900,"Back Bay Studio, steps from Newbury & T",107434423,Blueground,,Back Bay,42.3511785,-71.0869735,Entire home/apt,165,32,0,,,477,264,0,
567308226541956011,Spacious Back Bay Condo with Great Amenities!,423270067,Harry And Susie,,Back Bay,42.34516,-71.08137,Entire home/apt,867,1,0,,,28,326,0,Exempt: This listing is a unit used for furnished institutional or business stays
567350456427499210,Sonder at Pierce Boston | Studio Apartment,224829568,Sonder (Boston),,Fenway,42.34479,-71.10123,Entire home/apt,380,2,100,2022-08-22,1.82,24,355,30,Exempt: This listing is a hotel or motel
567399516598733384,Sonder at Pierce Boston | Three-Bedroom Apartment,224829568,Sonder (Boston),,Fenway,42.34303,-71.10301,Entire home/apt,681,2,58,2022-08-09,1.06,24,320,10,STR-423465
567464123137371762,Cozy & Modern Entire Residential Home ❤️,446217252,Carmen,,East Boston,42.37565,-70.98393,Entire home/apt,257,3,14,2022-09-06,2.66,1,317,14,
567999293157676181,(31) Bright large room with skylight on top floor,45011296,Lance,,Allston,42.36883,-71.10412,Private room,279,1,2,2022-08-14,0.34,19,33,2,135558
568062246611100467,Unfurnished Queen room in Roxbury,297860058,June Team,,Jamaica Plain,42.31462910085986,-71.09931758735006,Private room,43,91,0,,,113,258,0,
568182773606579135,Lovely Spacious 2-bedroom Unit in Somerville,429710403,Premier Villa,,Charlestown,42.38589,-71.08863,Entire home/apt,325,2,0,,,3,269,0,
568692279938660404,"Downtown 1BR w/ Gym & W/D, nr Faneuil Hall",107434423,Blueground,,Downtown,42.35892,-71.05416,Entire home/apt,242,32,0,,,477,296,0,
568694788908431933,"S. End 1BR w/ Gym, W/D & Pool, nr SoWa",107434423,Blueground,,South End,42.33855729999999,-71.06907079999999,Entire home/apt,231,32,0,,,477,284,0,
568695077328590878,S. Boston 1bd nr restaurants & shops,107434423,Blueground,,South Boston,42.34222,-71.05588,Entire home/apt,217,32,0,,,477,271,0,
568828322103892012,Comfortable Room Near T and Boston (2C),388872888,Yuping,,Charlestown,42.38938,-71.0839,Private room,84,2,16,2022-09-08,2.49,8,219,16,
569318898338852723,Lovely Queen room in Brighton,297860058,June Team,,Brighton,42.348548660530696,-71.16382000629049,Private room,76,91,0,,,113,107,0,
569401968055537236,2BR in desirable & quiet area. nr.grocery & T-stop,107434423,Blueground,,Brighton,42.33687279999999,-71.1329221,Entire home/apt,250,32,0,,,477,313,0,
569402295823866723,"Allston 2BR w/ W/D, nr BU & Packards Corner",107434423,Blueground,,Allston,42.3527433,-71.12187410000001,Entire home/apt,232,32,0,,,477,260,0,
569407505309687319,"N. Station 1BR w/ Gym & Roofdeck, nr TD Garden",107434423,Blueground,,Downtown,42.36504,-71.06029,Entire home/apt,224,32,0,,,477,331,0,
569407773693999956,"N. Station 1BR w/ W/D & Gym, nr TD Garden",107434423,Blueground,,Downtown,42.364773,-71.063143,Entire home/apt,395,32,0,,,477,75,0,
569408055356408918,"Allston 1BR w/ W/D, nr BU & Packards Corner",107434423,Blueground,,Allston,42.3527433,-71.12187410000001,Entire home/apt,249,32,0,,,477,136,0,
569409514897293328,"Brookline Studio w/ Gym & W/D, nr Green Line",107434423,Blueground,,Allston,42.34097,-71.12689,Entire home/apt,173,32,0,,,477,294,0,
569409818963492848,"Brookline Studio w/ Gym & W/D, nr Green Line",107434423,Blueground,,Allston,42.34097,-71.12689,Entire home/apt,171,32,0,,,477,304,0,
569558577091949027,Beautiful 2-bedroom unit in Somerville,429710403,Premier Villa,,Charlestown,42.38533,-71.09046,Entire home/apt,292,2,21,2022-08-29,3.42,3,269,21,
569670782758289679,Spacious Charming New England Home 15 min. Boston,228074003,Donna,,Hyde Park,42.25117,-71.0872,Entire home/apt,295,3,4,2022-05-30,0.76,2,282,4,
569967228105319170,Private Room in Savin Hill,297860058,June Team,,Dorchester,42.31769,-71.05273,Private room,74,91,0,,,113,107,0,
